Time,Abs
0.008333334,0.90200
0.025,0.89700
0.041666668,0.76500
0.058333334,0.63800
0.075000003,0.59200
0.091666669,0.54500
0.108333334,0.51200
0.125,0.48400
0.141666681,0.47100
0.158333346,0.45600
0.175000012,0.45200
0.191666678,0.44400
0.208333343,0.43800
0.225000009,0.43600
0.241666675,0.43000
0.258333325,0.42900
0.275000006,0.42500
0.291666657,0.42600
0.308333337,0.42200
0.324999988,0.42200
0.341666669,0.42100
0.358333319,0.42100
0.375,0.42000
0.391666651,0.42100
0.408333331,0.42000
0.424999982,0.41500
0.441666663,0.41700
0.458333314,0.41800
0.474999994,0.41100
0.491666645,0.41400
0.508333325,0.41200
0.524999976,0.41000
0.541666687,0.40800
0.558333337,0.40700
0.574999988,0.40500
0.591666639,0.40700
0.608333349,0.40600
0.625,0.40700
0.641666651,0.40500
0.658333302,0.40700
0.675000012,0.40600
0.691666663,0.39900
0.708333314,0.40200
0.724999964,0.40200
0.741666675,0.40000
0.758333325,0.39800
0.774999976,0.39700
0.791666687,0.39900
0.808333337,0.39800
0.824999988,0.39900
0.841666639,0.39300
0.858333349,0.39300
0.875,0.39300
0.891666651,0.38900
0.908333302,0.38800
0.925000012,0.39100
0.941666663,0.38700
0.958333314,0.38800
0.974999964,0.38400
0.991666675,0.38100
1.008333325,0.38300
1.024999976,0.38000
1.041666627,0.38200
1.058333278,0.37600
1.075000048,0.37400
1.091666698,0.37600
1.108333349,0.37400
1.125,0.37400
1.141666651,0.37100
1.158333302,0.37100
1.174999952,0.37000
1.191666603,0.36700
1.208333373,0.36400
1.225000024,0.36600
1.241666675,0.36200
1.258333325,0.35800
1.274999976,0.36200
1.291666627,0.35600
1.308333278,0.35900
1.325000048,0.35600
1.341666698,0.35700
1.358333349,0.35200
1.375,0.35400
1.391666651,0.35000
1.408333302,0.35000
1.424999952,0.35000
1.441666603,0.34800
1.458333373,0.34800
1.475000024,0.34300
1.491666675,0.34200
1.508333325,0.34000
1.524999976,0.33800
1.541666627,0.33800
1.558333278,0.34000
1.575000048,0.33900
1.591666698,0.33400
1.608333349,0.33600
1.625,0.33400
1.641666651,0.33500
1.658333302,0.33400
1.674999952,0.33300
1.691666603,0.33300
1.708333373,0.33300
1.725000024,0.32900
