Time,Temp,Abs
248,290.154839,0.44893679
249,290.187479,0.448205024
252,290.172467,0.439930886
253,290.173445,0.439544588
254,290.19741,0.440946668
255,290.194482,0.440709859
257,290.180569,0.439534545
258,290.195987,0.4380669
260,290.218598,0.44262296
262,290.23672,0.433977813
263,290.232008,0.437200129
265,290.271538,0.437169462
266,290.221436,0.43730247
268,290.227835,0.439091235
269,290.269664,0.435853571
271,290.299713,0.433631808
273,290.249468,0.437393904
274,290.273829,0.433578908
276,290.291275,0.434128642
278,290.298493,0.431504309
279,290.316738,0.432091892
281,290.295839,0.431495547
282,290.327441,0.430798471
283,290.307393,0.425125331
285,290.320502,0.428318352
286,290.321905,0.428664982
288,290.359993,0.42877838
290,290.32301,0.423120379
292,290.360824,0.431171417
293,290.324393,0.451886296
294,290.382501,0.447841436
295,290.3463,0.45139575
297,290.359255,0.44819504
298,290.36552,0.447536677
300,290.419466,0.426729977
302,290.385566,0.424314946
304,290.414655,0.450896561
305,290.415784,0.431740075
306,290.408092,0.437151969
308,290.419567,0.432802856
309,290.445398,0.430684269
312,290.446781,0.435174644
313,290.501364,0.428183436
314,290.501364,0.429745227
315,290.437084,0.425846547
316,290.473283,0.42615509
319,290.50179,0.425424367
322,290.451166,0.422693759
324,290.495329,0.42055428
325,290.513415,0.421969801
326,290.510984,0.422001392
328,290.524437,0.419779539
331,290.534329,0.420610011
333,290.578986,0.422310352
334,290.55339,0.42062822
337,290.568168,0.420234442
338,290.565388,0.419849843
339,290.596293,0.418952674
341,290.640842,0.419724107
342,290.597594,0.421409607
343,290.608614,0.415342122
344,290.608614,0.416945815
346,290.631681,0.413491547
347,290.631681,0.414609999
348,290.689649,0.417086512
350,290.665811,0.415616036
351,290.665341,0.411878198
353,290.681187,0.418636948
354,290.681212,0.416067958
356,290.701548,0.412008226
357,290.695986,0.419234425
358,290.683521,0.420868486
360,290.70916,0.41899991
362,290.744761,0.418605387
363,290.766268,0.415418863
364,290.744989,0.421594173
367,290.783239,0.416645616
368,290.799315,0.421437055
369,290.746639,0.418721259
370,290.767999,0.41766876
372,290.80099,0.417470366
375,290.808023,0.417797267
378,290.818689,0.414383322
380,290.850953,0.410375416
381,290.826749,0.410885483
382,290.841467,0.409562171
384,290.872835,0.409274221
386,290.878764,0.411903292
388,290.886524,0.406717241
390,290.932776,0.407523245
392,290.913382,0.404969662
393,290.941911,0.40482527
396,290.96138,0.401097119
399,290.962357,0.40642032
401,290.998934,0.406254649
403,291.004291,0.401572615
406,291.033543,0.403172702
407,291.05981,0.402061671
408,291.043121,0.399822563
409,291.052153,0.400466442
412,291.092786,0.396274149
413,291.061863,0.398168743
415,291.085732,0.400038689
417,291.108021,0.396001488
419,291.110626,0.400094837
422,291.111798,0.396299839
423,291.107996,0.400562197
424,291.138789,0.400121272
425,291.167805,0.40068543
427,291.178863,0.414616406
428,291.19957,0.41500473
431,291.189343,0.419039637
433,291.225307,0.41237551
434,291.213928,0.414459825
435,291.257771,0.416544765
436,291.246791,0.415492028
438,291.239588,0.418181032
439,291.237687,0.407867312
440,291.258443,0.399762929
442,291.292228,0.398853272
443,291.277449,0.391088367
447,291.331111,0.401892364
449,291.335311,0.394430339
450,291.34466,0.396768332
452,291.376989,0.396183342
455,291.36579,0.394886851
458,291.404217,0.39385131
459,291.422469,0.390522778
461,291.413894,0.387124836
463,291.439917,0.389100522
466,291.470213,0.389034003
468,291.49016,0.383293629
469,291.51243,0.388269991
470,291.514058,0.38394025
472,291.525202,0.386349887
473,291.528127,0.387222588
474,291.556271,0.387957126
476,291.531255,0.384054005
478,291.580184,0.385359556
479,291.560019,0.384848416
481,291.600278,0.384327829
483,291.586433,0.385343611
484,291.580063,0.381754309
487,291.629418,0.377817333
488,291.659752,0.381660312
490,291.689312,0.380089879
491,291.671095,0.380462468
494,291.699983,0.37854591
496,291.746325,0.379054874
497,291.726712,0.378405422
498,291.754793,0.379758149
499,291.749749,0.37964198
500,291.739331,0.380945146
502,291.805356,0.37774694
503,291.772082,0.378487289
505,291.778429,0.382024854
507,291.819271,0.382043392
509,291.82539,0.380575478
511,291.862007,0.380302101
513,291.862931,0.383201361
514,291.895027,0.379130185
517,291.907364,0.381729156
518,291.923224,0.380427927
519,291.947877,0.379085213
521,291.970897,0.378870398
523,291.987603,0.379432738
525,292.005782,0.376980096
526,291.960541,0.376710117
528,291.984061,0.374883205
529,292.014099,0.374389976
531,292.049803,0.374403894
533,292.070181,0.373039961
535,292.060593,0.373585284
536,292.059846,0.371221066
537,292.08324,0.371737093
538,292.119609,0.370304853
540,292.113418,0.368332416
541,292.144751,0.369277358
544,292.169412,0.363364548
546,292.194121,0.362994164
547,292.162596,0.36439994
549,292.180667,0.365956485
550,292.212116,0.365561187
552,292.247507,0.36392802
553,292.248481,0.366032124
555,292.283889,0.365412861
556,292.260758,0.365213186
557,292.297638,0.363513798
558,292.297638,0.361088514
560,292.344299,0.362049222
562,292.335721,0.364053547
565,292.363362,0.362214804
567,292.358577,0.360763788
568,292.41456,0.363055915
569,292.4199,0.35893181
570,292.432773,0.356986016
572,292.421474,0.364239752
573,292.439484,0.360428423
574,292.463706,0.3577407
577,292.492937,0.35978508
578,292.515759,0.357766688
580,292.517831,0.355761468
582,292.55327,0.358445197
585,292.573745,0.360284567
586,292.588888,0.354606539
588,292.606039,0.359954506
589,292.630303,0.361540616
591,292.633025,0.371836245
592,292.645241,0.372140139
593,292.677651,0.371266842
594,292.663294,0.369054526
595,292.694761,0.370541394
596,292.666338,0.373259842
597,292.694337,0.373329729
599,292.728215,0.371854097
600,292.734107,0.373012573
602,292.75736,0.373200357
603,292.754669,0.366475493
605,292.812133,0.352272779
606,292.766289,0.365908027
607,292.801658,0.350069553
610,292.841563,0.351906747
612,292.856117,0.36532566
613,292.891757,0.347858757
615,292.906933,0.352386802
617,292.922337,0.353008598
619,292.940429,0.355615944
621,292.971827,0.350010365
622,292.95431,0.350585699
623,292.964877,0.350723386
626,292.984085,0.34961775
628,293.029933,0.349779725
631,293.074255,0.3510831
632,293.074406,0.346200466
633,293.092392,0.345644772
634,293.11092,0.34762311
635,293.11092,0.34686473
638,293.152793,0.344255984
640,293.175608,0.345253587
641,293.199343,0.34455356
643,293.228131,0.343052477
646,293.249549,0.345136911
648,293.282219,0.344620377
650,293.287076,0.343072534
652,293.320538,0.342289627
653,293.330573,0.340324372
654,293.325067,0.342348158
655,293.348675,0.342841059
659,293.405586,0.343684614
660,293.416364,0.340517581
661,293.380714,0.342925191
662,293.468885,0.338734001
663,293.411811,0.342247307
665,293.437722,0.34027651
666,293.493999,0.339315623
667,293.475581,0.336033493
669,293.496338,0.339610934
672,293.521999,0.337401182
673,293.576696,0.334506363
674,293.570777,0.334511638
676,293.585358,0.335434049
678,293.604616,0.332433403
681,293.624749,0.335572511
684,293.655704,0.333151013
685,293.66727,0.333118886
687,293.705583,0.336421073
689,293.736431,0.337235451
690,293.75683,0.336086601
691,293.788892,0.334866583
692,293.816376,0.337900221
693,293.804291,0.339696765
695,293.813768,0.335228026
697,293.84294,0.337141693
698,293.849882,0.33481583
699,293.861891,0.338321447
701,293.898424,0.336953998
702,293.897384,0.337011188
704,293.920636,0.334668875
706,293.965788,0.335809976
708,293.964522,0.335742801
709,293.969391,0.332840234
711,294.034906,0.336818785
713,294.025163,0.333750486
714,294.06742,0.331709325
715,294.029987,0.331937462
716,294.049403,0.329939514
717,294.105902,0.330269516
718,294.130932,0.32911545
719,294.125762,0.328611016
722,294.144677,0.328180343
724,294.196619,0.326852411
726,294.204722,0.32714653
728,294.219213,0.327553839
730,294.239415,0.327119231
732,294.266156,0.321206868
733,294.286084,0.324855208
735,294.328143,0.325181603
737,294.34494,0.319526553
739,294.356691,0.320034653
741,294.412436,0.321481794
742,294.406671,0.316314787
744,294.429753,0.319478512
746,294.460202,0.31817919
747,294.489509,0.319697052
748,294.479008,0.318325609
749,294.520086,0.318222523
750,294.520086,0.31872496
752,294.519142,0.318469137
753,294.567118,0.318617165
754,294.542533,0.316616237
756,294.598457,0.3177647
758,294.650846,0.317193657
760,294.654419,0.317363322
761,294.678199,0.315916926
762,294.665274,0.316529036
764,294.691658,0.316124916
765,294.741508,0.314516425
767,294.729541,0.31534341
768,294.767171,0.314257026
769,294.777822,0.312622547
770,294.777822,0.312451273
772,294.802596,0.313080311
773,294.802596,0.313442588
774,294.825997,0.316337735
776,294.818283,0.31310156
778,294.856898,0.314690948
779,294.928537,0.311913639
780,294.912332,0.311758012
782,294.943573,0.310316294
783,294.943573,0.3102009
785,295.000738,0.309679985
787,295.015595,0.309775978
789,295.029861,0.310030699
791,295.069999,0.309004277
792,295.084288,0.308921039
793,295.072927,0.305844039
794,295.07228,0.301579267
795,295.105716,0.304317564
797,295.138828,0.317822158
798,295.142202,0.319551706
800,295.170921,0.320313692
802,295.21861,0.320908248
803,295.202836,0.31940037
805,295.251439,0.32073161
806,295.239761,0.319051087
808,295.283524,0.321557492
811,295.316775,0.319897205
812,295.330831,0.299815565
813,295.351161,0.300593317
814,295.369655,0.316536814
816,295.369806,0.314769983
817,295.395384,0.321758568
818,295.386982,0.302019447
820,295.494158,0.312031299
822,295.443672,0.302227825
824,295.471707,0.314245045
826,295.518744,0.312983364
827,295.50814,0.308870375
829,295.568186,0.310328215
832,295.619551,0.303220958
833,295.641606,0.304020494
835,295.666849,0.300336123
838,295.662368,0.302721232
840,295.698761,0.300937802
841,295.749641,0.301775515
844,295.739363,0.293927401
846,295.781498,0.293109745
847,295.780657,0.29672575
848,295.808866,0.298095822
851,295.8656,0.297396928
853,295.883209,0.293605745
856,295.926918,0.293337911
857,295.932733,0.291234165
858,295.9569,0.296972781
859,295.973784,0.291701883
861,296.004139,0.292899877
862,296.009144,0.291533947
863,296.021668,0.291674048
864,296.034793,0.29304117
865,296.062667,0.2916798
866,296.076526,0.291122019
867,296.092321,0.289118886
868,296.086382,0.288874149
869,296.105589,0.292983323
871,296.149271,0.294962496
872,296.133164,0.288443118
875,296.199588,0.289888114
877,296.199048,0.289489418
878,296.177765,0.290038168
880,296.260172,0.289772242
881,296.249404,0.287721872
882,296.340799,0.288363159
883,296.340799,0.289608657
885,296.302481,0.287875325
886,296.323483,0.288561732
888,296.350256,0.287326694
889,296.37724,0.28892687
891,296.408754,0.288081765
893,296.424908,0.283867508
894,296.463398,0.284658611
895,296.483823,0.285450906
897,296.523542,0.279978842
898,296.480765,0.282479465
899,296.505299,0.281770766
902,296.527977,0.278517276
904,296.587737,0.278990775
905,296.585789,0.281559199
907,296.621592,0.280042768
910,296.660285,0.277898938
913,296.686369,0.277639777
915,296.743103,0.279081523
916,296.743103,0.277029693
918,296.776971,0.278873861
920,296.79454,0.279254526
922,296.846322,0.278997153
924,296.86869,0.281317055
925,296.916257,0.279942393
926,296.886136,0.280171484
928,296.930027,0.277975023
929,296.933044,0.281887323
930,296.926128,0.280215323
933,296.956991,0.278105348
935,297.026885,0.276961178
937,297.057097,0.279465199
939,297.104571,0.279738903
940,297.063304,0.27622354
942,297.123867,0.278247535
943,297.106779,0.276637286
945,297.157658,0.276734054
946,297.137931,0.276305765
