Sample 1,,
Time (min),Abs,
0.008333333768,0.0007054994348,
0.02500000037,0.02135697752,
0.04166666791,0.473952055,
0.05833333358,0.6557840705,
0.07500000298,0.8869380951,
0.09166666865,1.012043834,
0.1083333343,1.038394094,
0.125,0.9616308212,
0.1416666806,0.7793892622,
0.1583333462,0.6865562797,
0.1750000119,0.5904658437,
0.1916666776,0.5109541416,
0.2083333433,0.4928574562,
0.2250000089,0.4731752276,
0.2416666746,0.4645055234,
0.2583333254,0.451353848,
0.275000006,0.4406851828,
0.2916666567,0.4294074178,
0.3083333373,0.4210956097,
0.3249999881,0.4220430851,
0.3416666687,0.4173103571,
0.3583333194,0.4173642993,
0.375,0.4173945189,
0.3916666508,0.4205663204,
0.4083333313,0.4203664064,
0.4249999821,0.4198694825,
0.4416666627,0.4191481173,
0.4583333135,0.4209536612,
0.474999994,0.4205964506,
0.4916666448,0.4225016236,
0.5083333254,0.4208287299,
0.5249999762,0.4221666157,
0.5416666865,0.4246464968,
0.5583333373,0.4259936213,
0.5749999881,0.4235666096,
0.5916666389,0.4164111316,
0.6083333492,0.4203280509,
0.625,0.4189221263,
0.6416666508,0.4226754606,
0.6583333015,0.4199559391,
0.6750000119,0.4199883938,
0.6916666627,0.4228581786,
0.7083333135,0.4217164218,
0.7249999642,0.4194128811,
0.7416666746,0.418482542,
0.7583333254,0.4177079499,
0.7749999762,0.4203924835,
0.7916666865,0.4194148183,
0.8083333373,0.4184323847,
0.8249999881,0.4219985008,
0.8416666389,0.420019865,
0.8583333492,0.4174747765,
0.875,0.4153579772,
0.8916666508,0.4174024761,
0.9083333015,0.4191574454,
0.9250000119,0.4177806675,
0.9416666627,0.4144037664,
0.9583333135,0.4165985584,
0.9749999642,0.4169344306,
0.9916666746,0.4178654552,
1.008333325,0.4129622579,
1.024999976,0.4143062234,
1.041666627,0.4168809354,
1.058333278,0.4130275846,
1.075000048,0.4161967933,
1.091666698,0.4130872786,
1.108333349,0.4148056805,
1.125,0.416392833,
1.141666651,0.4113380909,
1.158333302,0.4128995538,
1.174999952,0.413672626,
1.191666603,0.4131680429,
1.208333373,0.4142142832,
1.225000024,0.4121021628,
1.241666675,0.4146341383,
1.258333325,0.4126243889,
1.274999976,0.4116399586,
1.291666627,0.4118139148,
1.308333278,0.4096594155,
1.325000048,0.4116017818,
1.341666698,0.4079363942,
1.358333349,0.4090939462,
1.375,0.4072917104,
1.391666651,0.4062233269,
1.408333302,0.4049172103,
1.424999952,0.4062091708,
1.441666603,0.4066311419,
1.458333373,0.4023068547,
1.475000024,0.4051644802,
1.491666675,0.4054055512,
1.508333325,0.4047165215,
1.524999976,0.4072602689,
1.541666627,0.4061578214,
1.558333278,0.4036617279,
1.575000048,0.4044346511,
1.591666698,0.4034513831,
1.608333349,0.4046830833,
1.625,0.4059957266,
1.641666651,0.405097276,
1.658333302,0.4011384845,
1.674999952,0.3986802995,
1.691666603,0.4018215537,
1.708333373,0.3971115649,
1.725000024,0.3969797492,
1.741666675,0.3981044292,
1.758333325,0.3936732113,
1.774999976,0.398427099,
1.791666627,0.4017992914,
1.808333278,0.4008135498,
1.825000048,0.399666816,
1.841666698,0.3984678686,
1.858333349,0.3939327598,
1.875,0.3966827393,
1.891666651,0.3945803046,
1.908333302,0.3991105258,
1.924999952,0.3968815506,
1.941666603,0.3967576325,
1.958333373,0.3946903646,
1.975000024,0.3985467255,
1.991666675,0.3944073617,
2.008333445,0.3935646713,
2.025000095,0.3956192732,
