Time (min),Abs
0,1.038394094
0.016666666,0.961630821
0.033333346,0.779389262
0.050000012,0.68655628
0.066666678,0.590465844
0.083333343,0.510954142
0.100000009,0.492857456
0.116666675,0.473175228
0.13333334,0.464505523
0.149999991,0.451353848
0.166666672,0.440685183
0.183333322,0.429407418
0.200000003,0.42109561
0.216666654,0.422043085
0.233333334,0.417310357
0.249999985,0.417364299
0.266666666,0.417394519
0.283333317,0.42056632
0.299999997,0.420366406
0.316666648,0.419869483
0.333333328,0.419148117
0.349999979,0.420953661
0.36666666,0.420596451
0.383333311,0.422501624
0.399999991,0.42082873
0.416666642,0.422166616
0.433333352,0.424646497
0.450000003,0.425993621
0.466666654,0.42356661
0.483333305,0.416411132
0.500000015,0.420328051
0.516666666,0.418922126
0.533333317,0.422675461
0.549999967,0.419955939
0.566666678,0.419988394
0.583333328,0.422858179
0.599999979,0.421716422
0.61666663,0.419412881
0.63333334,0.418482542
0.649999991,0.41770795
0.666666642,0.420392484
0.683333352,0.419414818
0.700000003,0.418432385
0.716666654,0.421998501
0.733333305,0.420019865
0.750000015,0.417474777
0.766666666,0.415357977
0.783333317,0.417402476
0.799999967,0.419157445
0.816666678,0.417780668
0.833333328,0.414403766
0.849999979,0.416598558
0.86666663,0.416934431
0.88333334,0.417865455
0.899999991,0.412962258
0.916666642,0.414306223
0.933333293,0.416880935
0.949999944,0.413027585
0.966666714,0.416196793
0.983333364,0.413087279
1.000000015,0.414805681
1.016666666,0.416392833
1.033333317,0.411338091
1.049999968,0.412899554
1.066666618,0.413672626
1.083333269,0.413168043
1.100000039,0.414214283
1.11666669,0.412102163
1.133333341,0.414634138
1.149999991,0.412624389
1.166666642,0.411639959
1.183333293,0.411813915
1.199999944,0.409659416
1.216666714,0.411601782
1.233333364,0.407936394
1.250000015,0.409093946
1.266666666,0.40729171
1.283333317,0.406223327
1.299999968,0.40491721
1.316666618,0.406209171
1.333333269,0.406631142
1.350000039,0.402306855
1.36666669,0.40516448
1.383333341,0.405405551
1.399999991,0.404716522
1.416666642,0.407260269
1.433333293,0.406157821
1.449999944,0.403661728
1.466666714,0.404434651
1.483333364,0.403451383
1.500000015,0.404683083
1.516666666,0.405995727
1.533333317,0.405097276
1.549999968,0.401138485
1.566666618,0.3986803
1.583333269,0.401821554
1.600000039,0.397111565
1.61666669,0.396979749
1.633333341,0.398104429
1.649999991,0.393673211
1.666666642,0.398427099
1.683333293,0.401799291
1.699999944,0.40081355
1.716666714,0.399666816
1.733333364,0.398467869
1.750000015,0.39393276
