Sample 1,,
Time (min),Abs,
0.008333334,-0.001968869,
0.025,-0.000547505,
0.041666668,0.220018148,
0.058333334,0.423684806,
0.075000003,0.695961714,
0.091666669,0.67714119,
0.108333334,0.82721597,
0.125,1.04479754,
0.141666681,0.973059893,
0.158333346,0.829984546,
0.175000012,0.723921895,
0.191666678,0.637771308,
0.208333343,0.553335726,
0.225000009,0.51034379,
0.241666675,0.487617075,
0.258333325,0.455862641,
0.275000006,0.435822099,
0.291666657,0.43241623,
0.308333337,0.428686917,
0.324999988,0.419616163,
0.341666669,0.417336762,
0.358333319,0.414603353,
0.375,0.412101328,
0.391666651,0.413993657,
0.408333331,0.413003475,
0.424999982,0.411235631,
0.441666663,0.411325216,
0.458333314,0.407259017,
0.474999994,0.411312431,
0.491666645,0.411128163,
0.508333325,0.408465743,
0.524999976,0.408722103,
0.541666687,0.410383999,
0.558333337,0.412437886,
0.574999988,0.408417553,
0.591666639,0.406608969,
0.608333349,0.405628592,
0.625,0.405971944,
0.641666651,0.40739131,
0.658333302,0.406201839,
0.675000012,0.407823145,
0.691666663,0.406789392,
0.708333314,0.407495529,
0.724999964,0.404317617,
0.741666675,0.405520201,
0.758333325,0.400974512,
0.774999976,0.400337458,
0.791666687,0.403533578,
0.808333337,0.398457021,
0.824999988,0.399314314,
0.841666639,0.401940703,
0.858333349,0.395822555,
0.875,0.397815287,
0.891666651,0.394715816,
0.908333302,0.397999317,
0.925000012,0.393969506,
0.941666663,0.391117424,
0.958333314,0.390324354,
0.974999964,0.39280656,
0.991666675,0.391358346,
1.008333325,0.388154209,
1.024999976,0.388017803,
1.041666627,0.389391005,
1.058333278,0.386083454,
1.075000048,0.381370872,
1.091666698,0.382498711,
1.108333349,0.38188538,
1.125,0.382217199,
1.141666651,0.384144306,
1.158333302,0.382210165,
1.174999952,0.381299317,
1.191666603,0.381433427,
1.208333373,0.379716009,
1.225000024,0.380754679,
1.241666675,0.380232394,
1.258333325,0.380219311,
1.274999976,0.377896637,
