Sample 1,,
Time (min),Abs,
0.0008333333535,0.008904607035,
0.002499999944,0.007545411121,
0.004166666884,0.009224909358,
0.005833333824,0.004801918752,
0.007500000298,0.004891311284,
0.009166667238,0.00639510341,
0.01083333418,0.0109421974,
0.01250000019,0.009520098567,
0.01416666713,0.007289649453,
0.01583333313,0.005611704662,
0.01750000007,0.01049180515,
0.01916666701,0.08079138398,
0.02083333395,0.08099088073,
0.02250000089,0.2417491525,
0.02416666597,0.1449965835,
0.02583333291,0.08474263549,
0.02749999985,0.0915074721,
0.02916666679,0.2183311731,
0.03083333373,0.329667002,
0.03249999881,0.8518125415,
0.03416666761,0.7736011147,
0.03583333641,0.6570237279,
0.03750000149,0.5593708158,
0.03916666657,0.3537221849,
0.04083333537,0.2881957591,
0.04250000045,0.3096567392,
0.04416666925,0.4619316161,
0.04583333433,0.7132533789,
0.0474999994,0.7332549095,
0.04916666821,0.81929636,
0.05083333328,1.006424189,
0.05250000209,0.9960187674,
0.05416666716,0.871175766,
0.05583333224,0.8778137565,
0.05750000104,0.7050926089,
0.05916666612,0.6832655072,
0.06083333492,0.657351613,
0.0625,0.7452707291,
0.06416666508,0.8565816879,
0.0658333376,0.9612550139,
0.06750000268,1.21021378,
0.06916666776,1.040863276,
0.07083334029,1.085739613,
0.07250000536,0.9743248224,
0.07416667044,0.8394398093,
0.07583333552,0.8054500818,
0.0775000006,0.6989274025,
0.07916667312,0.9399203062,
0.0808333382,1.235767365,
0.08250000328,1.311700702,
0.08416666836,1.30859971,
0.08583333343,1.058587313,
0.08750000596,1.084605336,
0.08916667104,1.07639122,
0.09083333611,1.0637995,
0.09250000119,1.189450264,
0.09416666627,1.277076602,
0.0958333388,1.260664105,
0.09750000387,1.301131368,
0.09916666895,1.323092699,
0.100833334,1.090068817,
0.1024999991,1.058781147,
0.1041666716,1.09774816,
0.1058333367,1.190741301,
0.1075000018,1.138221025,
0.1091666669,1.214180946,
0.1108333319,1.125558019,
0.1125000045,1.091756582,
0.1141666695,1.141085505,
0.1158333346,1.10039711,
0.1174999997,0.9295466542,
0.1191666648,0.9947586656,
0.1208333373,1.035800934,
0.1225000024,0.8710705638,
0.1241666675,0.8295913339,
0.1258333325,1.029115796,
0.1274999976,0.9318310618,
0.1291666776,0.9437334538,
0.1308333427,0.9738003016,
0.1325000077,0.9401170015,
0.1341666728,0.8516415358,
0.1358333379,0.9436846972,
0.137500003,0.9731663465,
0.1391666681,0.8345630765,
0.140833348,0.7480071187,
0.1424999982,0.8301898837,
0.1441666782,0.7883580923,
0.1458333284,0.7134879231,
0.1475000083,0.8439094424,
0.1491666734,0.8892552257,
0.1508333385,0.852940619,
0.1525000036,0.768891871,
0.1541666687,0.7647880316,
0.1558333337,0.6217502356,
0.1575000137,0.7294424176,
0.1591666639,0.6789966822,
0.1608333439,0.7378330827,
0.162499994,0.6354751587,
0.164166674,0.7214041352,
0.1658333391,0.6885644794,
0.1675000042,0.6021589041,
0.1691666692,0.5876909494,
0.1708333343,0.6080371737,
0.1724999994,0.6206672788,
0.1741666794,0.5816321969,
0.1758333296,0.5984884501,
0.1775000095,0.6266060472,
0.1791666597,0.6081296802,
0.1808333397,0.6038214564,
0.1825000048,0.6460427642,
