Time,Abs,Temp
358,0.222834632,310.180862
359,0.221089512,310.179711
361,0.220615804,310.167213
363,0.215625078,310.13741
364,0.221289441,310.117024
365,0.219426617,310.112893
368,0.22125186,310.096914
369,0.215871185,310.114637
371,0.218369916,310.112746
373,0.22811012,310.067597
374,0.229571343,310.063247
376,0.226971507,310.03844
378,0.230047494,310.026157
380,0.233850539,310.022025
382,0.22063762,309.994474
383,0.226924747,309.981252
385,0.206910953,309.958098
387,0.223113418,309.940544
389,0.212533757,309.927223
390,0.221123457,309.9045
392,0.214060262,309.898398
394,0.217522413,309.876806
397,0.213814557,309.840538
398,0.209894195,309.862695
399,0.211518943,309.846436
401,0.21011515,309.815748
402,0.207785204,309.794557
404,0.206869051,309.808157
407,0.206505969,309.804126
409,0.204290241,309.730391
411,0.209145814,309.756069
413,0.208042115,309.709876
415,0.206304357,309.680212
416,0.20392631,309.711977
418,0.200112909,309.695717
419,0.204550281,309.660954
420,0.202444613,309.631691
421,0.203635171,309.627288
423,0.202740029,309.620147
424,0.200792268,309.60244
425,0.20017992,309.595128
428,0.196327239,309.573858
430,0.200821906,309.546574
431,0.197988898,309.554952
433,0.200984061,309.535218
434,0.197819412,309.514472
435,0.193041608,309.482173
437,0.195741341,309.502011
440,0.198354781,309.454548
442,0.193840906,309.447287
444,0.195839658,309.414575
446,0.193545207,309.417057
447,0.199030295,309.405387
449,0.198338881,309.375203
450,0.196927741,309.384976
452,0.196468905,309.339497
455,0.19869706,309.307839
456,0.198910087,309.32104
457,0.193397045,309.320008
458,0.194185227,309.28608
460,0.195791185,309.265786
461,0.195011854,309.239269
462,0.194026366,309.240525
464,0.19229576,309.219094
466,0.192842722,309.173454
467,0.193296567,309.172403
469,0.191811279,309.173922
471,0.193862379,309.162582
472,0.188683733,309.150375
473,0.188194871,309.127012
474,0.188887596,309.135324
475,0.184487775,309.121763
476,0.184875861,309.111118
478,0.185750336,309.059113
479,0.185486674,309.077375
481,0.187362537,309.0583
483,0.185375154,309.047897
484,0.182967126,308.993416
485,0.184930697,309.02846
487,0.182751685,308.9782
490,0.185957268,308.960542
492,0.180732101,308.931827
494,0.183239222,308.902335
496,0.183354765,308.922123
498,0.179609105,308.854235
500,0.180228859,308.838405
501,0.179538027,308.853139
503,0.181903005,308.818989
505,0.176225424,308.788092
506,0.177339137,308.788769
507,0.173679769,308.781684
510,0.177193865,308.749055
512,0.175308853,308.743075
513,0.174924061,308.727096
515,0.173014537,308.699186
516,0.172503978,308.691612
518,0.174317211,308.643443
519,0.172028065,308.66021
520,0.17534931,308.618033
523,0.175496012,308.607889
525,0.176603541,308.59813
526,0.169343442,308.576428
527,0.169839487,308.555354
529,0.184010819,308.552029
530,0.185829744,308.541665
532,0.18201609,308.505343
533,0.182213485,308.514295
535,0.183053017,308.462222
538,0.185816795,308.450993
539,0.185464099,308.447979
540,0.180294246,308.432088
542,0.170455948,308.417571
543,0.168095902,308.416104
545,0.165584207,308.361753
546,0.168606862,308.37237
548,0.17878823,308.335607
549,0.178983912,308.355179
551,0.164770335,308.300987
552,0.172930956,308.288032
553,0.166449592,308.304806
555,0.169708684,308.239004
556,0.167568222,308.247727
557,0.171071395,308.232809
558,0.170785129,308.226082
