Time,Abs1,Temp1,Abs2,Temp2
218,0.451377064,290.143923,0.284922332,310.969692
220,0.451032728,290.136835,0.282783926,311.015034
223,0.446797192,290.161355,0.285955727,310.950119
224,0.44893679,290.154839,0.279770941,310.949522
225,0.448205024,290.187479,0.268249571,310.967816
229,0.439544588,290.173445,0.27549398,310.930405
233,0.439534545,290.180569,0.273395985,310.924852
234,0.4380669,290.195987,0.266682893,310.896867
236,0.44262296,290.218598,0.266896099,310.882009
239,0.437200129,290.232008,0.264391989,310.890849
241,0.437169462,290.271538,0.26015982,310.838598
242,0.43730247,290.221436,0.265013963,310.864311
244,0.439091235,290.227835,0.262329429,310.852432
247,0.433631808,290.299713,0.259249926,310.826032
250,0.433578908,290.273829,0.250382334,310.836989
257,0.431495547,290.295839,0.258143395,310.777247
262,0.428664982,290.321905,0.253078729,310.739491
266,0.423120379,290.32301,0.252970308,310.718396
268,0.431171417,290.360824,0.247284487,310.719026
269,0.451886296,290.324393,0.248245969,310.675612
270,0.447841436,290.382501,0.247410536,310.683611
271,0.45139575,290.3463,0.246771619,310.670549
274,0.447536677,290.36552,0.246691838,310.658936
276,0.426729977,290.419466,0.24069719,310.635207
278,0.424314946,290.385566,0.245712593,310.623953
280,0.450896561,290.414655,0.244835824,310.586464
281,0.431740075,290.415784,0.244919807,310.596649
282,0.437151969,290.408092,0.245206207,310.597353
285,0.430684269,290.445398,0.24576588,310.599546
288,0.435174644,290.446781,0.242737249,310.569531
289,0.428183436,290.501364,0.245172381,310.518772
291,0.425846547,290.437084,0.243610233,310.540471
298,0.422693759,290.451166,0.240974844,310.492398
301,0.421969801,290.513415,0.23629348,310.470758
304,0.419779539,290.524437,0.235290721,310.423053
307,0.420610011,290.534329,0.237471193,310.41465
309,0.422310352,290.578986,0.231017754,310.373715
310,0.42062822,290.55339,0.232395962,310.389743
314,0.419849843,290.565388,0.230659917,310.312568
315,0.418952674,290.596293,0.225826412,310.325956
317,0.419724107,290.640842,0.231640726,310.340402
319,0.415342122,290.608614,0.231346726,310.317891
320,0.416945815,290.608614,0.230822146,310.338419
324,0.417086512,290.689649,0.228508174,310.281184
327,0.411878198,290.665341,0.224391997,310.278599
329,0.418636948,290.681187,0.223000288,310.234378
332,0.412008226,290.701548,0.225101203,310.210687
333,0.419234425,290.695986,0.219629422,310.196557
334,0.420868486,290.683521,0.222834632,310.180862
339,0.415418863,290.766268,0.215625078,310.13741
340,0.421594173,290.744989,0.221289441,310.117024
344,0.421437055,290.799315,0.22125186,310.096914
345,0.418721259,290.746639,0.215871185,310.114637
354,0.414383322,290.818689,0.230047494,310.026157
