Temp,Time,Abs,,2387,35,,
16.816023,162,0.461204797,,98,2352,,
16.79493,163,0.461348712,,,,,
16.784224,164,0.461437523,,,,,
16.7886,166,0.458222538,,,,,
16.7886,167,0.460105121,,16.750331,0.459536612,168,7
16.750331,168,0.459536612,Yes,17.009762,0.451347083,240,10
16.829564,169,0.454040408,,17.209993,0.42877838,288,12
16.800078,172,0.456154555,,17.296781,0.435174644,312,13
16.81117,173,0.453259319,,17.55916,0.41899991,360,15
16.814288,176,0.476213276,,17.722835,0.409274221,384,16
16.814948,178,0.484747976,,17.893121,0.399822563,408,17
16.814948,179,0.485823244,,18.834061,0.374883205,528,22
16.812151,181,0.454593271,,19.097507,0.36392802,552,23
16.829755,182,0.482172459,,19.584107,0.373012573,600,25
16.812481,183,0.452395022,,20.132219,0.344620377,648,27
16.851481,185,0.471165836,,20.371999,0.337401182,672,28
16.816157,187,0.473007441,,21.279753,0.319478512,744,31
16.816157,188,0.469802082,,21.617171,0.314257026,768,32
16.851726,190,0.463003665,,21.934288,0.308921039,792,33
16.877859,193,0.4593831,,22.219806,0.314769983,816,34
16.856005,195,0.457690537,,22.548761,0.300937802,840,35
16.877451,197,0.4551045,,22.884793,0.29304117,864,36
16.865247,200,0.455623776,,23.200256,0.287326694,888,37
16.877411,201,0.452486366,,24.543655,0.262055993,984,41
16.863175,203,0.456109762,,25.150108,0.252190858,1032,43
16.872131,204,0.452046931,,26.907851,0.22265242,1176,49
16.881138,206,0.4540748,,27.20387,0.216914266,1200,50
16.899774,208,0.448163956,,27.453802,0.213996962,1224,51
16.903814,209,0.446419567,,27.693112,0.211944789,1248,52
16.860161,210,0.452236325,,28.414198,0.197362453,1320,55
16.903242,212,0.454798669,,28.636099,0.192115918,1344,56
16.927771,214,0.451719433,,28.895847,0.185134709,1368,57
16.917468,215,0.448364914,,29.284143,0.185983092,1416,59
16.915366,217,0.450194001,,29.549299,0.180051863,1440,60
16.908048,218,0.451143056,,29.7337,0.171695724,1464,61
16.934051,220,0.447099239,,29.952312,0.167297632,1488,62
16.916558,221,0.447128803,,30.190602,0.162123278,1512,63
16.957404,222,0.444393337,,30.461298,0.161052555,1536,64
16.925716,224,0.446275294,,31.27514,0.155062571,1608,67
16.960592,225,0.445658028,,31.83497,0.149777785,1656,69
16.900849,226,0.445309997,,32.148145,0.144077465,1680,70
16.953554,227,0.447148442,,32.742486,0.139628455,1728,72
16.953554,228,0.445903629,,33.759692,0.132932127,1800,75
16.963309,229,0.441770017,,34.076253,0.130608261,1824,76
16.972988,230,0.443724632,,34.389591,0.138151795,1848,77
16.949552,231,0.445277542,,35.412673,0.127422109,1920,80
16.964425,233,0.448054075,,35.778221,0.125479296,1944,81
16.989225,236,0.449341118,,36.40371,0.123395607,1992,83
17.001583,237,0.455296189,,36.738303,0.121848308,2016,84
16.989428,238,0.449845612,,37.051757,0.119664371,2040,85
17.009762,240,0.451347083,Yes,37.675778,0.118325196,2088,87
16.993923,242,0.451377064,,37.944617,0.118908875,2112,88
16.986835,243,0.450544983,,38.758978,0.121255398,2184,91
16.986835,244,0.451032728,,39.739458,0.11931099,2280,95
16.970787,245,0.448317915,,40.010122,0.119462289,2304,96
17.011355,247,0.446797192,,40.213233,0.118087009,2328,97
