Time (min),Abs
0,1.323092699
0.001666665,1.090068817
0.00333333,1.058781147
0.005000003,1.09774816
0.006666668,1.190741301
0.008333333,1.138221025
0.009999998,1.214180946
0.011666663,1.125558019
0.013333336,1.091756582
0.015000001,1.141085505
0.016666666,1.10039711
0.018333331,0.929546654
0.019999996,0.994758666
0.021666668,1.035800934
0.023333333,0.871070564
0.024999999,0.829591334
0.026666664,1.029115796
0.028333329,0.931831062
0.030000009,0.943733454
0.031666674,0.973800302
0.033333339,0.940117002
0.035000004,0.851641536
0.036666669,0.943684697
0.038333334,0.973166347
0.039999999,0.834563077
0.041666679,0.748007119
0.043333329,0.830189884
0.045000009,0.788358092
0.046666659,0.713487923
0.048333339,0.843909442
0.050000004,0.889255226
0.05166667,0.852940619
0.053333335,0.768891871
0.055,0.764788032
0.056666665,0.621750236
0.058333345,0.729442418
0.059999995,0.678996682
0.061666675,0.737833083
0.063333325,0.635475159
0.065000005,0.721404135
0.06666667,0.688564479
0.068333335,0.602158904
0.07,0.587690949
0.071666665,0.608037174
0.07333333,0.620667279
0.07500001,0.581632197
0.076666661,0.59848845
0.078333341,0.626606047
0.079999991,0.60812968
0.081666671,0.603821456
0.083333336,0.646042764
0.085000001,0.589035511
0.086666666,0.59033674
0.088333331,0.572286785
0.089999996,0.50735426
0.091666676,0.548767507
0.093333326,0.625957012
0.095000006,0.592332482
0.096666656,0.584005296
0.098333336,0.587338686
0.100000001,0.576513827
0.101666667,0.54245621
0.103333332,0.536456764
0.104999997,0.50872612
0.106666662,0.508717477
0.108333342,0.513760865
0.109999992,0.504362762
0.111666672,0.540938735
0.113333322,0.523238957
0.115000002,0.530784965
0.116666667,0.526408494
0.118333332,0.51978451
0.119999997,0.490298748
0.121666662,0.507882655
0.123333327,0.498054117
0.125000007,0.481603563
0.126666658,0.499349892
0.128333338,0.502601981
0.129999988,0.492369622
0.131666668,0.50735873
0.133333333,0.506705701
0.134999998,0.470725805
0.136666663,0.470614404
0.138333328,0.491053104
0.139999993,0.464161307
0.141666673,0.465677381
0.143333323,0.471490175
0.145000003,0.488619328
0.146666653,0.490942508
0.148333333,0.476302803
0.150000013,0.476131231
0.151666664,0.463055909
0.153333329,0.458535075
0.154999994,0.468702853
0.156666659,0.455676615
0.158333354,0.459293485
0.159999989,0.47160393
0.161666684,0.465606451
0.163333319,0.460760921
0.165000014,0.457716167
0.166666679,0.458978742
0.168333344,0.450489223
0.170000009,0.453625679
0.171666674,0.453500539
0.173333339,0.451778293
0.175000004,0.450273365
0.17666667,0.453514934
0.178333335,0.455519438
0.18,0.457846999
0.181666695,0.4455024
0.18333333,0.446699113
0.184999995,0.454699576
0.18666666,0.458913505
0.188333355,0.4438757
0.19000002,0.447345287
0.191666655,0.449133754
0.19333332,0.456998318
0.195000015,0.448788375
0.19666668,0.443367094
0.198333345,0.440011203
0.199999981,0.445734292
0.201666676,0.439764082
0.203333341,0.436946034
0.205000006,0.454117566
0.206666671,0.448100448
0.208333336,0.445477724
0.210000001,0.437233388
0.211666666,0.440921664
0.213333331,0.440617204
0.215000026,0.440375745
0.216666661,0.441538185
0.218333326,0.445964068
0.219999991,0.443707764
0.221666686,0.439297736
0.223333351,0.428873718
0.224999987,0.428076148
0.226666652,0.427919895
0.228333347,0.439375401
0.230000012,0.429332763
0.231666677,0.448797613
0.233333312,0.436672181
0.235000007,0.437374294
0.236666672,0.4309991
0.238333337,0.430691123
0.240000002,0.441114932
0.241666667,0.435431629
0.243333332,0.433310062
0.244999997,0.440037131
0.246666662,0.427871138
0.248333357,0.430639267
0.249999993,0.430853188
0.251666658,0.42402938
0.253333323,0.430005968
0.255000018,0.419007927
0.256666683,0.427574337
0.258333318,0.439926118
0.259999983,0.425405741
0.261666678,0.435269922
0.263333343,0.427148491
0.265000008,0.424025446
0.266666643,0.433108628
0.268333338,0.431961536
0.270000003,0.41829598
0.271666668,0.432502866
0.273333363,0.428787589
0.274999999,0.429977864
0.276666664,0.426255226
0.278333329,0.422322571
0.280000024,0.42392242
0.281666689,0.434759527
0.283333324,0.423276782
0.284999989,0.428006142
0.286666684,0.429427058
0.288333349,0.438949943
0.290000014,0.419940919
0.291666649,0.416322053
0.293333344,0.412012518
0.295000009,0.423500985
0.296666674,0.430192053
0.298333339,0.424037427
0.300000004,0.423167706
0.30166667,0.422308087
0.303333335,0.425567895
0.305,0.428959936
0.306666695,0.421780497
0.30833333,0.433659434
0.309999995,0.426372469
0.31166666,0.427282274
0.313333355,0.416707516
0.31500002,0.421898037
0.316666655,0.420472205
0.31833332,0.426541418
0.320000015,0.423543096
0.32166668,0.424821407
0.323333345,0.422712535
0.324999981,0.415129215
0.326666676,0.417307347
0.328333341,0.424367815
0.330000006,0.417820275
0.331666671,0.422406197
0.333333336,0.420351028
0.335000001,0.411738783
0.336666666,0.415043682
0.338333331,0.421985656
0.340000026,0.429346204
0.341666661,0.419732124
