Time,Abs
12,0.994207323
13,0.93542558
14,0.785052359
15,0.70080328
16,0.600722611
17,0.557068467
18,0.51677537
19,0.485600561
20,0.463687986
21,0.451580405
22,0.440888494
23,0.43164134
24,0.425442606
25,0.420498103
26,0.411907733
27,0.413335055
28,0.415022969
29,0.409811676
30,0.412227422
31,0.409612387
32,0.413951188
33,0.411788493
34,0.408712715
35,0.405864447
36,0.410491377
37,0.412039876
38,0.411098063
39,0.40946278
40,0.403058648
41,0.40628168
42,0.401111007
43,0.403999001
44,0.406514823
45,0.401605904
46,0.40000391
47,0.39647457
48,0.398825437
49,0.394391358
50,0.39652577
51,0.392121971
52,0.389704108
53,0.390643179
54,0.390729785
55,0.391562402
56,0.39619571
57,0.394400448
58,0.3904984
59,0.391794264
60,0.389652133
61,0.387907714
62,0.386875957
63,0.388867617
64,0.390300065
65,0.385563135
66,0.385945648
67,0.383367449
68,0.38104102
69,0.378725082
70,0.379726768
71,0.380306304
72,0.378096759
73,0.380145907
74,0.375434667
75,0.374179065
76,0.377709419
77,0.371533603
78,0.375255704
79,0.370250583
80,0.372476935
81,0.373896152
82,0.37198782
83,0.368751913
84,0.364374965
85,0.368280888
86,0.366751611
87,0.36229527
88,0.363588125
89,0.368937939
90,0.366587371
91,0.362014145
92,0.360936463
93,0.360501975
94,0.360393286
95,0.363653392
96,0.359015584
97,0.359217316
98,0.358681411
99,0.356125891
100,0.357317269
101,0.365840495
102,0.371195823
103,0.373678863
104,0.372872502
105,0.373491794
106,0.375983954
107,0.369026512
108,0.371414423
109,0.369485766
110,0.373646885
111,0.374145865
112,0.368209094
113,0.368264526
114,0.370928407
115,0.369463831
116,0.367301613
117,0.367950231
118,0.348874122
119,0.359556496
120,0.365051478
121,0.358405411
122,0.348582417
123,0.349127799
124,0.350261241
125,0.356225908
126,0.349318236
127,0.34678182
128,0.344295323
129,0.347395837
130,0.342624217
131,0.344171464
132,0.341376066
133,0.339104056
134,0.338870496
135,0.3376908
136,0.336346865
137,0.336063057
138,0.33360368
139,0.331620514
140,0.330013633
141,0.331450969
142,0.330569208
143,0.33204478
144,0.329598934
145,0.33182022
146,0.325591087
147,0.33087033
148,0.327826947
149,0.328294486
150,0.327423245
151,0.330043793
152,0.326954275
153,0.327053487
154,0.328678101
155,0.322024822
156,0.32329002
157,0.327283502
158,0.326735437
159,0.322589099
160,0.320180804
161,0.318993419
162,0.322141051
163,0.319442421
164,0.314108044
165,0.314913362
166,0.316140741
167,0.316877991
168,0.313216656
169,0.314201683
170,0.310890704
171,0.313649833
172,0.315071076
173,0.308966756
174,0.310468912
175,0.310010672
176,0.309244514
177,0.310493559
178,0.312882364
179,0.314226329
180,0.311094105
181,0.314337462
182,0.313095778
183,0.311972737
184,0.31380558
185,0.313757181
186,0.310698658
187,0.31209594
188,0.31390819
189,0.308076084
190,0.310301453
191,0.307221055
192,0.305951417
193,0.308887571
194,0.31300199
195,0.305005223
196,0.302759349
197,0.304968357
198,0.303110868
199,0.297701061
200,0.302817047
201,0.301012665
202,0.29688865
203,0.294867724
204,0.295614034
205,0.297039837
206,0.294950724
207,0.294275761
208,0.293150216
209,0.293116242
210,0.28862527
211,0.295653701
212,0.29147619
213,0.287926316
214,0.29383567
215,0.292330712
216,0.286697328
